Author,Chapter,Reference,Type,Intertextual_function,Semantic
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Spinoza,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Greeks,Nominal,['2'],Positive
Marx,2,Shakespeare,Nominal,['2'],Positive
Marx,2,Vulcan,Nominal,['1'],Neutral
Marx,2,Roberts & Co.,Nominal,['1'],Neutral
Marx,2,Jupiter,Nominal,['1'],Neutral
Marx,2,Hermes,Nominal,['1'],Neutral
Marx,2,Credit Mobilier,Nominal,['1'],Neutral
Marx,2,Goddess Fame,Nominal,['1'],Neutral
Marx,2,Printing House Square,Nominal,['1'],Neutral
Marx,2,Greek mythology,Nominal,['2'],Positive
Marx,2,Egyptian mythology,Nominal,['2'],Neutral
Marx,2,F. Engels,Nominal,['3'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Thematic,['3'],Neutral
Marx,2,F. Engels,Thematic,['3'],Neutral
Marx,2,Adam Smith,Nominal,['1'],Neutral
Marx,2,Smith,Nominal,['1'],Neutral
Marx,2,Ricardo,Nominal,['1'],Neutral
Marx,2,Rousseau,Nominal,['1'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Proudhon,Nominal,['1'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,1,E. g.,Nominal,['1'],Neutral
Marx,1,an ingenious English economist,Nominal,['1'],Negative
Marx,1,primitive communities,Nominal,['1'],Neutral
Marx,1,F. Engels,Nominal,['1'],Positive
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Peter Shlemihl,Nominal,['1'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Mr. Cotton,Nominal,['1'],Neutral
Marx,2,English law,Nominal,['1'],Neutral
Marx,2,Bank of England,Nominal,['1'],Neutral
Marx,2,Custodi,Nominal,['1'],Neutral
Marx,2,Dodd,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Jacob,Nominal,['1'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Locke,Nominal,['1'],Neutral
Marx,2,Lowndes,Verbal,['2'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Economists,Nominal,['1'],Neutral
Marx,2,Steuart,Nominal,['1'],Positive
Marx,2,Bastiat,Verbal,['2'],Neutral
Marx,2,Carey,Thematic,['3'],Neutral
Marx,2,Proudhon,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Phenicians,Thematic,['2'],Neutral
Marx,2,Carthagenians,Thematic,['3'],Neutral
Marx,2,Lombardians,Thematic,['4'],Neutral
Marx,2,Jews,Nominal,['1'],Neutral
Marx,2,Economists of,Nominal,['1'],Neutral
Marx,2,Economists of the eighteenth century,Nominal,['1'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Russia,Nominal,['1'],Neutral
Marx,2,Peter the Great,Nominal,['1'],Neutral
Marx,2,Plato,Nominal,['1'],Neutral
Marx,2,Aristotle,Nominal,['1'],Neutral
Marx,2,China,Nominal,['1'],Neutral
Marx,2,Benjamin,Nominal,['1'],Neutral
Marx,2,Bishop Berkeley,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,English Bank Law,Nominal,['1'],Neutral
Marx,1,William Petty,Nominal,['4'],Positive
Marx,1,Boisguillebert,Thematic,['2'],Neutral
Marx,1,Ricardo,Nominal,['2'],Neutral
Marx,1,Sismondi,Nominal,['2'],Neutral
Marx,1,Hobbes,Nominal,['2'],Neutral
Marx,1,Political Arithmetic,Nominal,['4'],Positive
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Hume,Nominal,['2'],Neutral
Marx,2,Steuart,Nominal,['2'],Positive
Marx,2,Thomas Tooke,Nominal,['1'],Positive
Marx,2,Ricardian theory,Nominal,['1'],Negative
Marx,2,Overstone,Nominal,['2'],Neutral
Marx,2,Wilson,Nominal,['4'],Neutral
Marx,2,Fullarton,Nominal,['4'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Hegelian,Nominal,['2'],Neutral
Marx,2,socialist writers of fiction,Nominal,['1'],Neutral
Marx,2,Say,Nominal,['3'],Negative
Marx,2,*Storch—Say,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,English in Ireland,Nominal,['1'],Neutral
Marx,2,English in India,Nominal,['1'],Neutral
Marx,2,Turks,Nominal,['1'],Neutral
Marx,2,Romans,Nominal,['1'],Neutral
Marx,2,Germanic,Nominal,['1'],Neutral
Marx,2,Mongols in Russia,Nominal,['1'],Neutral
Marx,2,Germanic barbarians,Nominal,['1'],Neutral
Marx,1,William Petty,Nominal,['1'],Neutral
Marx,1,Bishop Berkeley,Verbal,['2'],Neutral
Marx,1,Thomas Cooper,Nominal,['1'],Neutral
Marx,1,F. Engels,Verbal,['2'],Neutral
Marx,2,JAMES MILL,Nominal,['1'],Neutral
Marx,2,John Stuart Mill,Verbal,['2'],Neutral
Marx,2,old Cato,Verbal,['2'],Neutral
Marx,2,Cortes of Valladolid,Nominal,['1'],Neutral
Marx,2,Philipp II,Verbal,['2'],Neutral
Marx,2,John Stuart Mill,Nominal,['1'],Negative
Marx,2,Commercial crisis of,Thematic,['3'],Neutral
Marx,2,F. Engels,Thematic,['3'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Sir Robert Peel,Nominal,['2'],Neutral
Marx,2,Gladstone,Nominal,['3'],Neutral
Marx,2,Petty,Verbal,['1'],Neutral
Marx,2,Marx,Nominal,['4'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Hegel,Nominal,['1'],Negative
Marx,2,Economists of the seventeenth century,Verbal,['2'],Neutral
Marx,2,F. Engels,Thematic,['3'],Positive
Marx,2,Political economy,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Hegel,Nominal,['2'],Neutral
Marx,2,F. Engels,Thematic,['3'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,1,Boisguillebert,Nominal,['3'],Neutral
Marx,1,Petty,Thematic,['3'],Neutral
Marx,1,Louis XIV,Nominal,['2'],Neutral
Marx,1,Moloch,Thematic,['2'],Negative
Marx,1,F. Engels,Nominal,['3'],Positive
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Thematic,['3'],Neutral
Marx,2,Protestant,Nominal,['2'],Neutral
Marx,2,Puritan,Nominal,['2'],Neutral
Marx,2,Dr. Bernier,Nominal,['2'],Neutral
Marx,2,Mohammedan,Nominal,['2'],Neutral
Marx,2,England,Thematic,['3'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,post-Ricardian English Political Economy,Nominal,['1'],Positive
Marx,2,F. Engels,Thematic,['3'],Positive
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,1,Benjamin Franklin,Nominal,['1'],Positive
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Ricardo,Nominal,['1'],Positive
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Adam Smith,Nominal,['1'],Neutral
Marx,2,F. Engels,Verbal,['2'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,English government,Thematic,['3'],Neutral
Marx,2,ryots of India,Thematic,['3'],Neutral
Marx,2,"foreign merchants residing
in Russia",Thematic,['3'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,1,Moses,Nominal,['1'],Neutral
Marx,1,Adam Smith,Verbal,['2'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Greece,Nominal,['1'],Neutral
Marx,2,Rome,Nominal,['1'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Mill,Nominal,['1'],Negative
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Hindoos,Thematic,['3'],Neutral
Marx,2,Slavs,Thematic,['3'],Neutral
Marx,2,Ancient Celts,Nominal,['1'],Neutral
Marx,2,Bourgeois economists,Nominal,['1'],Negative
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Ricardo,Nominal,['1'],Neutral
Marx,2,Political economy,Nominal,['1'],Positive
Marx,2,Adam Smith,Verbal,['2'],Neutral
Marx,2,Physiocratic system,Thematic,['3'],Positive
Marx,1,English economists,Nominal,['1'],Neutral
Marx,1,F. Engels,Thematic,['3'],Neutral
Marx,2,Peter Martyr,Nominal,['1'],Positive
Marx,2,Unidentified,Verbal,['2'],Neutral
Marx,2,Sir James Steuart,Nominal,['1'],Neutral
Marx,2,Bank of Amsterdam,Verbal,['2'],Neutral
Marx,2,Coast of Angola,Thematic,['3'],Neutral
Marx,2,Bishop BERKELEY,Nominal,['1'],Neutral
Marx,2,Secretary to the Treasury,Verbal,['2'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Jacob Grimm,Nominal,['1'],Positive
Marx,1,Russian serf,Nominal,['1'],Neutral
Marx,1,French peasant,Nominal,['1'],Neutral
Marx,1,English capitalist,Nominal,['1'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Ricardo,Nominal,['1'],Negative
Marx,2,Lord Overstone,Nominal,['1'],Neutral
Marx,2,"Colonel
Torrens",Nominal,['1'],Neutral
Marx,2,Norman,Nominal,['1'],Neutral
Marx,2,Clay,Nominal,['1'],Neutral
Marx,2,Arbuthnot,Nominal,['1'],Neutral
Marx,2,Sir Robert Peel,Nominal,['1'],Negative
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Steuart,Nominal,['1'],Negative
Marx,2,critical travelers,Nominal,['1'],Neutral
Marx,2,French assignat,Nominal,['1'],Negative
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Lord Castlereagh,Nominal,['2'],Neutral
Marx,2,Lowndes,Nominal,['2'],Neutral
Marx,2,William III,Nominal,['2'],Neutral
Marx,2,"THOMAS
ATTWOOD",Nominal,['1'],Neutral
Marx,2,Birmingham school of ‘little shillingmen’,Nominal,['2'],Neutral
Marx,2,Sir Robert Peel,Nominal,['2'],Neutral
Marx,2,"Sir Robert
Peel--Attwood",Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Hume,Nominal,['1'],Neutral
Marx,2,Ricardo,Nominal,['1'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,1,Propercius,Nominal,['1'],Neutral
Marx,1,F. Engels,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Unidentified,Nominal,['1'],Neutral
Marx,2,Gray,Nominal,['1'],Negative
Marx,2,English socialists,Thematic,['3'],Positive
Marx,2,Mr. Proudhon and his school,Thematic,['3'],Neutral
Marx,2,"F.
Engels",Nominal,['1'],Neutral
Marx,2,Gray,Thematic,['3'],Negative
Marx,2,Ricardo,Nominal,['4'],Neutral
Marx,2,Lord Overstone and Co.,Thematic,['3'],Neutral
Marx,2,Sir Robert Peele,Nominal,['3'],Neutral
Marx,2,Strabo,Nominal,['2'],Neutral
Marx,2,Xenophon,Verbal,['2'],Neutral
Marx,2,Aristotle,Thematic,['2'],Neutral
Marx,2,Dr. Martin Luther,Nominal,['1'],Neutral
Marx,2,Adam Smith,Nominal,['1'],Neutral
Marx,1,Unidentified,Nominal,['1'],Neutral
Marx,2,Ricardo,Nominal,['1'],Neutral
Marx,2,Catholic,Nominal,['1'],Neutral
Marx,2,Protestant,Nominal,['1'],Neutral
Marx,2,Birmingham school,Nominal,['1'],Neutral
Marx,2,Prussian paper thaler,Thematic,['3'],Neutral
Marx,2,English £,Nominal,['1'],Neutral
Marx,2,Lowndes,Thematic,['3'],Neutral
Marx,2,William III,Thematic,['3'],Neutral
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,John Locke,Nominal,['3'],Positive
Marx,2,Sir James Steuart,Thematic,['2'],Neutral
Marx,2,Lowndes,Nominal,['1'],Neutral
Marx,2,JOHN GRAY,Nominal,['1'],Positive
Marx,2,existing English institutions,Thematic,['3'],Neutral
Marx,2,the precious metals,Thematic,['3'],Neutral
Marx,2,gold,Thematic,['3'],Neutral
Marx,2,labour,Thematic,['3'],Positive
Marx,2,F. Engels,Nominal,['1'],Neutral
Marx,2,Locke,Nominal,['1'],Neutral
Bosanquet,9,Rousseau,Nominal,['1'],Positive
Bosanquet,9,Kantian philosophy,Verbal,['2'],Positive
Bosanquet,9,Kant,Thematic,['3'],Positive
Bosanquet,9,"Philosophy of
Right",Nominal,['1'],Neutral
Bosanquet,8,Unidentified,Nominal,['1'],Neutral
Bosanquet,2,M. Durkheim,Nominal,['2'],Positive
Bosanquet,2,Professor Giddings,Thematic,['2'],Positive
Bosanquet,5,Unidentified,Nominal,['1'],Neutral
Bosanquet,9,Hegel - Philosophy of Right,Nominal,['2'],Neutral
Bosanquet,9,Hegel - Philosophy of Mind,Thematic,['3'],Neutral
Bosanquet,9,Hegel - Encyclopaedia of Philosophy,Nominal,['1'],Neutral
Bosanquet,9,Hegel - Logic,Thematic,['2'],Neutral
Bosanquet,9,Hegel - Philosophy of Nature,Nominal,['2'],Neutral
Bosanquet,10,Plato,Nominal,['1'],Neutral
Bosanquet,10,Unidentified,Nominal,['1'],Neutral
Bosanquet,10,Hegel,Nominal,['1'],Neutral
Bosanquet,7,Plato,Nominal,['1'],Neutral
Bosanquet,7,Aristotle,Verbal,['1'],Neutral
Bosanquet,7,Greek,Thematic,['1'],Neutral
Bosanquet,7,Jew,Nominal,['1'],Neutral
Bosanquet,7,Spartan,Verbal,['1'],Neutral
Bosanquet,7,Athenian,Thematic,['1'],Neutral
Bosanquet,10,Hegel,Nominal,['1'],Positive
Bosanquet,9,Rousseau,Nominal,['3'],Positive
Bosanquet,9,Plato,Thematic,['4'],Positive
Bosanquet,5,Rousseau,Nominal,['1'],Neutral
Bosanquet,2,Plato,Nominal,['1'],Neutral
Bosanquet,2,Aristotle,Thematic,['3'],Neutral
Bosanquet,2,Greek thinkers,Nominal,['1'],Neutral
Bosanquet,8,Rousseau,Nominal,['1'],Positive
Bosanquet,9,Unidentified,Nominal,['1'],Neutral
Bosanquet,7,Miss Bates in Emma,Nominal,['1'],Neutral
Bosanquet,7,Walter Scott,Verbal,['2'],Neutral
Bosanquet,8,Green,Nominal,['1'],Neutral
Bosanquet,8,Green,Nominal,['1'],Neutral
Bosanquet,9,Rousseau,Nominal,['1'],Positive
Bosanquet,9,Kantian or post-Kantian thought,Thematic,['3'],Positive
Bosanquet,9,Germany,Nominal,['1'],Positive
Bosanquet,9,Social Contract,Nominal,['1'],Positive
Bosanquet,9,Kant,Nominal,['1'],Positive
Bosanquet,9,Fichte,Nominal,['1'],Positive
Bosanquet,9,Hegel,Nominal,['1'],Positive
Bosanquet,9,Hegel—_History of Philosophy_,Nominal,['1'],Positive
Bosanquet,5,Unidentified,Nominal,['1'],Neutral
Bosanquet,2,Homer,Nominal,['1'],Neutral
Bosanquet,2,Dante,Nominal,['1'],Neutral
Bosanquet,2,Shakespeare,Nominal,['1'],Neutral
Bosanquet,2,Unidentified,Nominal,['1'],Neutral
Bosanquet,9,Hegel,Nominal,['1'],Neutral
Bosanquet,7,Plato,Nominal,['1'],Positive
Bosanquet,10,Unidentified,Nominal,['1'],Neutral
Bosanquet,10,Hegel,Nominal,['1'],Neutral
Bosanquet,10,Classical political economy,Thematic,['3'],Neutral
Bosanquet,10,Unidentified,Nominal,['1'],Neutral
Bosanquet,10,Unidentified,Nominal,['1'],Neutral
Bosanquet,10,M. Durkheim,Nominal,['1'],Positive
Bosanquet,10,Hegel,Nominal,['1'],Neutral
Bosanquet,9,Hegel,Nominal,['1'],Positive
Bosanquet,5,Rousseau,Nominal,['1'],Positive
Bosanquet,2,Consciousness of kind,Thematic,['3'],Neutral
Bosanquet,2,Mind of a Crowd,Thematic,['3'],Neutral
Bosanquet,2,Imitation,Thematic,['3'],Neutral
Bosanquet,2,Social logic,Thematic,['3'],Neutral
Bosanquet,2,M. Tarde,Nominal,['1'],Positive
Bosanquet,2,_Logique Sociale_,Nominal,['1'],Positive
Bosanquet,2,Mr. Sidgwick,Nominal,['1'],Neutral
Bosanquet,2,Plato,Nominal,['1'],Neutral
Bosanquet,2,Aristotle,Verbal,['2'],Neutral
Bosanquet,5,Rousseau,Thematic,['3'],Positive
Bosanquet,9,Rousseau,Nominal,['1'],Neutral
Bosanquet,9,Social Contract,Verbal,['2'],Neutral
Bosanquet,8,Hegel,Nominal,['1'],Positive
Bosanquet,8,Plato,Nominal,['1'],Positive
Bosanquet,9,Jean Jacques Rousseau,Nominal,['1'],Positive
Bosanquet,9,Kant,Nominal,['1'],Positive
Bosanquet,9,Fichte,Nominal,['1'],Positive
Bosanquet,9,Hegel,Nominal,['1'],Positive
Bosanquet,9,Winckelmann,Nominal,['1'],Positive
Bosanquet,8,Unidentified,Nominal,['1'],Neutral
Bosanquet,2,Mr. Spencer,Nominal,['1'],Negative
Bosanquet,2,Mr. Huxley,Nominal,['1'],Negative
Bosanquet,2,"Plato—denying spirits in Plato’s
_Republic_",Nominal,['1'],Neutral
Bosanquet,2,Charles Krauthammer,Nominal,['1'],Neutral
Bosanquet,5,Mill,Nominal,['1'],Positive
Bosanquet,10,Hegel,Nominal,['4'],Positive
Bosanquet,10,Ancient Greek commonwealths,Verbal,['2'],Positive
Bosanquet,10,Hegel,Nominal,['1'],Positive
Bosanquet,9,Hegel,Nominal,['1'],Neutral
Bosanquet,9,Fries,Thematic,['3'],Negative
Bosanquet,9,Wartburg festival,Nominal,['1'],Neutral
Bosanquet,9,Czar,Thematic,['3'],Neutral
Bosanquet,9,Kotzebue,Nominal,['1'],Neutral
Bosanquet,9,Hardenberg,Thematic,['3'],Neutral
Bosanquet,9,Metternich,Nominal,['1'],Negative
Bosanquet,9,Hegel,Nominal,['1'],Neutral
Bosanquet,1,Plato,Nominal,['1'],Positive
Bosanquet,1,Aristotle,Nominal,['1'],Positive
Bosanquet,1,Plato,Nominal,['2'],Neutral
Bosanquet,1,Aristotle,Nominal,['2'],Neutral
Bosanquet,9,Hegel,Nominal,['4'],Positive
Bosanquet,9,Hegel,Nominal,['3'],Neutral
Bosanquet,9,Philosophy of Right,Nominal,['3'],Neutral
Bosanquet,9,Encyclopaedia of the,Nominal,['1'],Neutral
Bosanquet,9,English politics,Nominal,['4'],Neutral
Bosanquet,9,German politics,Nominal,['4'],Neutral
Bosanquet,10,Plato - _Republic_,Nominal,['2'],Negative
Bosanquet,10,Phalanstery,Nominal,['2'],Negative
Bosanquet,10,Paternal government,Nominal,['2'],Negative
Bosanquet,10,Hegel,Nominal,['3'],Neutral
Bosanquet,10,Rousseau,Nominal,['1'],Positive
Bosanquet,2,Mr. Spencer,Nominal,['1'],Neutral
Bosanquet,2,Professor Giddings,Nominal,['1'],Positive
Bosanquet,5,Rousseau,Nominal,['1'],Positive
Bosanquet,8,Unidentified,Nominal,['1'],Neutral
Bosanquet,9,Rousseau,Nominal,['3'],Positive
Bosanquet,9,_Pädagogik_,Thematic,['4'],Positive
Bosanquet,10,Hegel,Nominal,['2'],Neutral
Bosanquet,10,Summum jus summa injuria,Verbal,['2'],Neutral
Bosanquet,2,Hegel,Nominal,['2'],Neutral
Bosanquet,2,Marx,Thematic,['2'],Positive
Bosanquet,2,Buckle,Nominal,['2'],Positive
Bosanquet,2,Le Play,Thematic,['2'],Positive
Bosanquet,3,Mill's 'Liberty',Nominal,['1'],Neutral
Bosanquet,10,Hegel,Nominal,['1'],Neutral
Bosanquet,9,Hegel,Nominal,['4'],Positive
Bosanquet,9,Plato,Thematic,['4'],Positive
Bosanquet,10,Rousseau,Nominal,['3'],Neutral
Bosanquet,10,Hegel,Thematic,['3'],Neutral
